latitude,longitude,datetime,tempmax,tempmin,temp,humidity,windspeed,cloudcover,solarenergy,condition
2.935001243,101.6394673,24/10/2015,91.4,78.8,83.4,79,9,92.5,16.3,"Rain, Overcast"
2.934964024,101.7319388,24/10/2015,91.4,78.8,83.5,78,8.4,91.9,16.3,"Rain, Overcast"
2.934500834,101.6301718,24/10/2015,91.4,78.8,83.3,79.1,9.1,92.6,16.3,"Rain, Overcast"
2.945916206,101.7466365,24/10/2015,91.4,78.8,83.5,78.2,8.5,92,16.3,"Rain, Overcast"
2.960308476,101.7017119,24/10/2015,91.4,78.8,83.4,79,9,92.5,16.3,"Rain, Overcast"
2.967103729,101.7250105,24/10/2015,91.4,78.8,83.4,78.9,9,92.4,16.3,"Rain, Overcast"
2.938023108,101.6986246,24/10/2015,91.4,78.8,83.4,78.4,8.6,92.1,16.3,"Rain, Overcast"
2.954296233,101.7289079,24/10/2015,91.4,78.8,83.4,78.5,8.7,92.2,16.3,"Rain, Overcast"
2.907214587,101.7204091,24/10/2015,91.4,78.8,83.6,77.4,8.3,91.6,16.3,"Rain, Overcast"
2.934446367,101.7068809,24/10/2015,91.4,78.8,83.5,78.2,8.5,92,16.3,"Rain, Overcast"
2.956628239,101.6924876,24/10/2015,91.4,78.8,83.4,79,9,92.5,16.3,"Rain, Overcast"
2.914232837,101.6770645,25/10/2015,93.3,77,83.3,77.5,14.2,89.5,17.4,"Rain, Partially cloudy"
2.908522335,101.7102631,25/10/2015,93.3,77,83.3,77.1,15.2,89.4,17.4,"Rain, Partially cloudy"
2.969853108,101.7228356,25/10/2015,93.3,77,83.1,78.5,11.5,89.9,17.4,"Rain, Partially cloudy"
2.930409306,101.6978024,25/10/2015,93.3,77,83.2,77.7,13.5,89.6,17.4,"Rain, Partially cloudy"
2.924422945,101.6926708,25/10/2015,93.3,77,83.2,77.6,13.8,89.5,17.4,"Rain, Partially cloudy"
2.924179969,101.7160804,25/10/2015,93.3,77,83.3,77.4,14.3,89.5,17.4,"Rain, Partially cloudy"
2.921285236,101.7428619,26/10/2015,91.4,76.5,80,86.5,9.8,88.7,15.2,"Rain, Partially cloudy"
2.949445908,101.6366304,26/10/2015,91.4,76,79.8,86.8,10.4,88.6,15.2,"Rain, Partially cloudy"
2.903899253,101.7467809,26/10/2015,91.4,76.6,80,86.4,9.7,88.7,15.2,"Rain, Partially cloudy"
2.918568826,101.6655585,26/10/2015,91.4,76.4,80,86.6,10,88.6,15.2,"Rain, Partially cloudy"
2.917723073,101.7385997,26/10/2015,91.4,76.5,80,86.4,9.8,88.7,15.2,"Rain, Partially cloudy"
2.948750936,101.6883207,29/10/2015,91.6,77,81.8,80.4,10.1,89.4,21.8,"Rain, Partially cloudy"
2.94215071,101.6661886,29/10/2015,91.6,77,81.9,80.4,10.2,89.4,21.8,"Rain, Partially cloudy"
2.946104338,101.6782598,29/10/2015,91.6,77,81.8,80.4,10.2,89.4,21.8,"Rain, Partially cloudy"
2.91708056,101.7063833,29/10/2015,92.2,77,81.7,80.6,11.2,89.3,21.8,"Rain, Partially cloudy"
2.929293961,101.7216268,29/10/2015,92,77,81.7,80.5,10.9,89.3,21.8,"Rain, Partially cloudy"
2.932200514,101.6887817,29/10/2015,91.9,77,81.8,80.5,10.5,89.3,21.8,"Rain, Partially cloudy"
2.958225344,101.6816153,29/10/2015,91.4,77,81.9,80.4,10.4,89.5,21.8,"Rain, Partially cloudy"
2.970728476,101.7225717,29/10/2015,91.5,77,81.9,80.4,10.3,89.4,21.8,"Rain, Partially cloudy"
2.960950706,101.7416634,29/10/2015,91.7,77,81.8,80.4,10.1,89.4,21.8,"Rain, Partially cloudy"
2.930343851,101.6973027,30/10/2015,89.4,75.8,80.2,85.8,8.3,89,13.3,"Rain, Partially cloudy"
2.951659203,101.7083832,11/01/2015,88.3,75.1,79.9,84.8,5.2,89,11.8,"Rain, Partially cloudy"
2.969799293,101.6626852,11/01/2015,88.6,75.6,80.2,84.3,5.3,89,11.8,"Rain, Partially cloudy"
2.923524901,101.7374016,11/01/2015,88.1,74.6,79.7,85.3,6.1,89,11.8,"Rain, Partially cloudy"
2.959053443,101.6525998,11/01/2015,88.5,75.5,80.2,84.4,5.3,89,11.8,"Rain, Partially cloudy"
2.943017762,101.7169631,11/02/2015,86.4,75.9,80.4,73.9,7.5,89,24.6,"Rain, Partially cloudy"
2.927838796,101.6800139,11/02/2015,86.5,75.9,80.4,73.9,7.5,89,24.6,"Rain, Partially cloudy"
2.943391953,101.6838972,11/02/2015,86.3,76,80.5,73.8,7.7,89,24.6,"Rain, Partially cloudy"
2.955817524,101.6291738,11/02/2015,86.4,76.2,80.8,73.6,8.4,89,24.6,"Rain, Partially cloudy"
2.933546101,101.6685273,11/02/2015,86.3,75.9,80.5,73.9,7.6,89,24.6,"Rain, Partially cloudy"
2.945753843,101.7205461,11/02/2015,86.4,75.9,80.4,73.9,7.5,89,24.6,"Rain, Partially cloudy"
2.908471426,101.6472248,11/02/2015,86.6,75.8,80.3,73.9,7.6,89,24.6,"Rain, Partially cloudy"
2.949665041,101.7160896,11/02/2015,86.3,75.9,80.5,73.9,7.6,89,24.6,"Rain, Partially cloudy"
2.944287621,101.7450908,11/02/2015,86.5,75.8,80.3,73.9,7.6,89,24.6,"Rain, Partially cloudy"
2.938080613,101.6446418,11/02/2015,86.1,76.1,80.6,73.8,7.9,89,24.6,"Rain, Partially cloudy"
2.951148551,101.6999127,11/02/2015,86.2,76,80.5,73.8,7.7,89,24.6,"Rain, Partially cloudy"
2.944442879,101.6932413,11/02/2015,86.3,75.9,80.5,73.8,7.7,89,24.6,"Rain, Partially cloudy"
2.968831167,101.6437951,11/02/2015,86.5,76.3,80.9,73.6,8.5,89,24.6,"Rain, Partially cloudy"
2.908265235,101.646757,11/02/2015,86.6,75.8,80.3,73.9,7.6,89,24.6,"Rain, Partially cloudy"
2.920281423,101.6988294,11/02/2015,86.7,75.8,80.3,74,7.8,89,24.6,"Rain, Partially cloudy"
2.94598195,101.6560701,11/02/2015,86.1,76.1,80.6,73.8,8,89,24.6,"Rain, Partially cloudy"
2.937364649,101.6856716,11/02/2015,86.4,75.9,80.4,73.9,7.6,89,24.6,"Rain, Partially cloudy"
2.934838576,101.7238196,11/02/2015,86.6,75.8,80.3,74,7.7,89,24.6,"Rain, Partially cloudy"
2.936138329,101.7184584,11/02/2015,86.5,75.8,80.3,73.9,7.6,89,24.6,"Rain, Partially cloudy"
2.914790045,101.6915935,11/02/2015,86.7,75.7,80.2,74,7.9,89,24.6,"Rain, Partially cloudy"
2.960788038,101.6495573,11/02/2015,86.3,76.2,80.8,73.7,8.3,89,24.6,"Rain, Partially cloudy"
2.935664733,101.7007438,11/02/2015,86.5,75.9,80.4,73.9,7.5,89,24.6,"Rain, Partially cloudy"
2.916069594,101.7182686,11/02/2015,86.8,75.6,80.2,74,8.1,89,24.6,"Rain, Partially cloudy"
2.908670847,101.7407729,11/02/2015,86.9,75.3,80.1,74.1,8.4,89,24.6,"Rain, Partially cloudy"
2.935895507,101.6683542,11/02/2015,86.3,76,80.5,73.8,7.7,89,24.6,"Rain, Partially cloudy"
2.91131555,101.679802,11/02/2015,86.7,75.7,80.2,74,7.9,89,24.6,"Rain, Partially cloudy"
2.949295895,101.6396812,11/02/2015,86.2,76.2,80.7,73.7,8.2,89,24.6,"Rain, Partially cloudy"
2.924567622,101.7276728,11/02/2015,86.7,75.7,80.2,74,7.9,89,24.6,"Rain, Partially cloudy"
2.948343024,101.6529578,11/02/2015,86.1,76.1,80.7,73.7,8.1,89,24.6,"Rain, Partially cloudy"
2.914400354,101.7357973,11/02/2015,86.9,75.5,80.1,74.1,8.2,89,24.6,"Rain, Partially cloudy"
2.923221244,101.649769,11/02/2015,86.4,75.9,80.4,73.9,7.6,89,24.6,"Rain, Partially cloudy"
